,CODE,Name.x,Abbreviation.x,Category.x,Notes,article_1,article_2,article_3,article_4,article_5,article_6,article_7,article_8,article_9,article_10,article_11,article_12,article_13,article_14,article_15,article_16,article_17,article_18,article_19,article_20,article_21,article_22,article_23,article_24,article_25,article_26,article_27,article_28,article_29,article_30,article_31,article_32,article_33,article_34,article_35,article_36,article_37,article_38,article_39,article_40,article_41,article_42,article_43,article_44,article_45,article_46,article_47,article_48,article_49,article_50,article_51,article_52,article_53,article_54,article_55,article_56,article_57,article_58,article_59,article_60,article_61,article_62,article_63,Name.y,Abbreviation.y,Category.y,Items,Accessibility,access_type,link,review,exclusion_reason,relevant,Report,name.z,category,construct,rating,norms,internal_cons,test_retest,validity,ts
11,ALCOHOL DEPENDENCE INTENSITY SCALE,Alcohol Dependence Intensity Scale,EIDA,Alcohol,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Dependence Intensity Scale,EIDA,Alcohol,30,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,ALCOHOL DEPENDENCE SCALE,Alcohol Dependence Scale,ADS,Alcohol,NA,188,217,241,512,776,33,619,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Dependence Scale,ADS,Alcohol,25,Yes,Print-ready,http://chipts.ucla.edu/wp-content/uploads/downloads/2012/02/Alcohol-Dependence-Scale_ADS_.pdf,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"ALCOHOL EXPECTANCY QUESTIONNAIRE - ADOLESCENT, BRIEF SCALE","Alcohol Expectancy Questionnaire - Adolescent, Brief scale",AEQ-AB,Alcohol,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alcohol Expectancy Questionnaire - Adolescent, Brief scale",AEQ-AB,Alcohol,7,Yes,Print-ready,https://www.midss.org/sites/default/files/aeq-ab.doc,Exclude,Copyright,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ALCOHOL HABITS INVENTORY -  REVISED 2,Alcohol Habits Inventory -  Revised 2,AVI-R2,Alcohol,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Habits Inventory -  Revised 2,AVI-R2,Alcohol,81,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,ALCOHOL HISTORY FORM,Alcohol History Form,AHF,Alcohol,NA,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol History Form,AHF,Alcohol,34,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,ALCOHOL INTAKE SCALE-UJI,Alcohol Intake Scale-UJI,AIS-UJI,Alcohol,NA,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Intake Scale-UJI,AIS-UJI,Alcohol,21,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,ALCOHOL OUTCOME EXPECTANCY QUESTIONNAIRE,Alcohol Outcome Expectancy Questionnaire,AOEQ,Alcohol,NA,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Outcome Expectancy Questionnaire,AOEQ,Alcohol,34,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,ALCOHOL PROBLEMS SCALE,Alcohol Problems Scale,APS,Alcohol,NA,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Problems Scale,APS,Alcohol,14,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,ALCOHOL QUALITY OF LIFE SCALE,Alcohol Quality of Life Scale,AlQoLS,Alcohol,NA,110,147,159,234,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Quality of Life Scale,AlQoLS,Alcohol,9,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,ALCOHOL RELAPSE RISK SCALE,Alcohol Relapse Risk Scale,ARRS,Alcohol,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Relapse Risk Scale,ARRS,Alcohol,32,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,ALCOHOL RELAPSE SITUATION APPRAISAL QUESTIONNAIRE,Alcohol Relapse Situation Appraisal Questionnaire,A-RSAQ,Alcohol,NA,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Relapse Situation Appraisal Questionnaire,A-RSAQ,Alcohol,26,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,ALCOHOL URGE QUESTIONNAIRE,Alcohol Urge Questionnaire,AUQ,Alcohol,NA,479,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Urge Questionnaire,AUQ,Alcohol,8,Yes,Print-ready,https://www.phenxtoolkit.org/protocols/view/520301,Include,NA,1,"Bohn et al., 1995",Alcohol Urge Questionnaire,Alcohol,Urges,Excellent,Excellent,Excellent,Excellent,"CONCUR, CONVERG, DISCRIM, PREDICT",X
23,ALCOHOL USE DISCREPANCY INSTRUMENT,Alcohol Use Discrepancy Instrument,AUDI,Alcohol,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Use Discrepancy Instrument,AUDI,Alcohol,5,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,ALCOHOL USE DISORDERS IDENTIFICATION TEST,Alcohol Use Disorders Identification Test,AUDIT,Alcohol,NA,2,18,48,7,91,103,115,133,134,146,162,168,188,196,209,233,245,253,257,261,290,291,299,307,314,319,328,329,338,339,341,345,377,380,395,413,422,436,517,202,251,394,551,467,671,686,693,724,729,753,767,150,330,326,405,211,293,538,456,NA,NA,NA,NA,Alcohol Use Disorders Identification Test,AUDIT,Alcohol,10,Yes,Print-ready,https://auditscreen.org/,Include,NA,1,"Saunders et al., 1993",Alcohol Use Disorders Identification Test,Alcohol,Use,Excellent,Excellent,Excellent,Good,"CONCUR, DIVERG, PREDICT",Not applicable
25,ALCOHOL USE DISORDERS IDENTIFICATION TEST - CONSUMPTION,Alcohol Use Disorders Identification Test - Consumption,AUDIT-C,Alcohol,NA,60,369,703,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Use Disorders Identification Test - Consumption,AUDIT-C,Alcohol,3,Yes,Print-ready,https://www.hepatitis.va.gov/alcohol/treatment/audit-c.asp#S1X,Include,NA,1,"Bush et al., 1998",Alcohol Use Disorders Identification Test – Consumption,Alcohol,Use,Excellent,Good,Excellent,Good,"CONVERG, DIVERG, PREDICT",Not applicable
26,ALCOHOL USE INVENTORY,Alcohol Use Inventory,AUI,Alcohol,NA,124,514,33,224,594,806,619,649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol Use Inventory,AUI,Alcohol,228,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,ALCOHOL/DRUG SELF EFFICACY SCALE,Alcohol/Drug Self Efficacy Scale,A-DSES,Alcohol,NA,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcohol/Drug Self Efficacy Scale,A-DSES,Alcohol,20,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,APPROACH AND AVOIDANCE ALCOHOL QUESTIONNAIRE,Approach and Avoidance Alcohol Questionnaire,AAAQ,Alcohol,NA,235,241,485,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Approach and Avoidance Alcohol Questionnaire,AAAQ,Alcohol,14,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,BIPHASIC ALCOHOL EFFECT SCALE,Biphasic Alcohol Effect Scale,BAES,Alcohol,NA,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biphasic Alcohol Effect Scale,BAES,Alcohol,14,Yes,Needs formatting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570663/,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,BRIEF ALCOHOL SOCIAL DENSITY ASSESSMENT,Brief Alcohol Social Density Assessment,BASDA,Alcohol,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brief Alcohol Social Density Assessment,BASDA,Alcohol,4,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,BRIEF BIPHASIC ALCOHOL EFFECTS SCALE,Brief Biphasic Alcohol Effects Scale,B-BAES,Alcohol,NA,55,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brief Biphasic Alcohol Effects Scale,B-BAES,Alcohol,14,Yes,Needs formatting,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570663/,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,BRIEF MICHIGAN ALCOHOL SCREENING TEST,Brief Michigan Alcohol Screening Test,BMAST,Alcohol,NA,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brief Michigan Alcohol Screening Test,BMAST,Alcohol,10,Yes,Print-ready,https://preventionforme.org/wp-content/uploads/2017/09/BriefMAST.pdf,Include,NA,1,"Pokorny et al., 1972",Brief Michigan Alcohol Screening Test,Alcohol,Use,Good,Good,Excellent,Good,"CONCUR, CONVERG, DIVERG",Not applicable
33,BRIEF VERSION OF THE COMPREHENSIVE EFFECTS OF ALCOHOL QUESTIONNAIRE,Brief version of the Comprehensive Effects of Alcohol Questionnaire,B-CEOA,Alcohol,NA,589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brief version of the Comprehensive Effects of Alcohol Questionnaire,B-CEOA,Alcohol,15,Yes,Print-ready,https://www.phenxtoolkit.org/toolkit_content/archive/520000/520401_Protocol.docx,Include,NA,1,"Ham et al., 2005",Brief Version of the Comprehensive Effects of Alcohol Questionnaire,Alcohol,Expectancies,Adequate,NA,Adequate,NA,"CONCUR, CONVERG",NA
34,BRIEF YOUNG ADULT ALCOHOL CONSEQUENCES QUESTIONNAIRE,Brief Young Adult Alcohol Consequences Questionnaire,BYAACQ,Alcohol,NA,77,92,136,154,193,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brief Young Adult Alcohol Consequences Questionnaire,BYAACQ,Alcohol,24,Yes,Print-ready,https://arlbuffalo.com/the-young-adult-alcohol-consequences-questionnaire/the-brief-yaacq/,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,CAFFEINE + ALCOHOL COMBINED EFFECTS QUESTIONNAIRE,Caffeine + Alcohol Combined Effects Questionnaire,CACEQ,Alcohol,NA,298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caffeine + Alcohol Combined Effects Questionnaire,CACEQ,Alcohol,9,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,CAGE-ADAPTED TO INCLUDE DRUGS,CAGE-Adapted to Include Drugs,CAGE-AID,Alcohol,NA,544,727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAGE-Adapted to Include Drugs,CAGE-AID,Alcohol,4,Yes,Print-ready,https://www.hiv.uw.edu/page/substance-use/cage-aid,Include,NA,1,"Brown & Rounds, 1995",CAGE-Adapted to Include Drugs,General,Use,Adequate,Good,Good,Good,"CONVERG, DIVERG",Not applicable
37,COLLEGE ALCOHOL PROBLEM SCALE - REVISED,College Alcohol Problem Scale - Revised,CAPS-R,Alcohol,NA,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,College Alcohol Problem Scale - Revised,CAPS-R,Alcohol,10,Yes,Print-ready,https://elcentro.sonhs.miami.edu/research/measures-library/caps-r/CAPS-R_Items_%20Eng.pdf,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
